job_id,title,requirements,description,company,raw_text,processed_text
11,Yazılım Geliştiricisi,"Python, JavaScript veya Java gibi dillerde gelişmiş yazılım geliştirme bilgisi.","Uygulama geliştirme, yazılım bakım ve güncellemeleri yapmak, teknik sorunları çözmek başlıca görevleriniz olacaktır.",TeknoGelişim Yazılım,"Yazılım Geliştiricisi Uygulama geliştirme, yazılım bakım ve güncellemeleri yapmak, teknik sorunları çözmek başlıca görevleriniz olacaktır. Python, JavaScript veya Java gibi dillerde gelişmiş yazılım geliştirme bilgisi.",yazılı geliştir uygula geliştir yazılı bakı güncelle yap teknik sorun çöz başlıca görev ol python javascript java dil geliş yazılı geliştir bilgi
12,Veritabanı Yöneticisi,"SQL ve NoSQL veritabanlarında deneyim, veri yönetimi ve optimizasyon bilgisi.","Veritabanlarını yönetip, performanslarını optimize edecek ve veri güvenliği için önlemler alacaksınız.",VeriSistemi Teknolojileri,"Veritabanı Yöneticisi Veritabanlarını yönetip, performanslarını optimize edecek ve veri güvenliği için önlemler alacaksınız. SQL ve NoSQL veritabanlarında deneyim, veri yönetimi ve optimizasyon bilgisi.",veritabanı yönet veritabanı yönet performans optimize et veri güvenlik önlem al sql nosql veritabanı deney veri yönet optimizasyon bilgi
13,Sistem Yöneticisi,"Sunucu yönetimi ve ağ yapılandırma deneyimi, Linux ve Windows Server bilgisi.","Ağ altyapısını yönetmek, sunucu bakımlarını gerçekleştirmek ve sistem güvenliğini sağlamak temel görevleriniz olacaktır.",AğYönetim A.Ş.,"Sistem Yöneticisi Ağ altyapısını yönetmek, sunucu bakımlarını gerçekleştirmek ve sistem güvenliğini sağlamak temel görevleriniz olacaktır. Sunucu yönetimi ve ağ yapılandırma deneyimi, Linux ve Windows Server bilgisi.",sistem yönet ağ altyapı yönet sun bakım gerçek sistem güvenlik sağla temel görev ol sun yönet ağ yapılandır deney linux windows server bilgi
14,Ağ Güvenliği Uzmanı,"Ağ güvenliği ve siber güvenlik konusunda deneyim, güvenlik protokolleri bilgisi.","Ağ güvenliğini sağlayarak şirket verilerini koruyacak, siber saldırılara karşı savunma stratejileri geliştireceksiniz.",SiberKoruma Güvenlik,"Ağ Güvenliği Uzmanı Ağ güvenliğini sağlayarak şirket verilerini koruyacak, siber saldırılara karşı savunma stratejileri geliştireceksiniz. Ağ güvenliği ve siber güvenlik konusunda deneyim, güvenlik protokolleri bilgisi.",ağ güvenlik uzma ağ güvenlik sağla şirket veri koru siber saldırı karşı savun strateji geliştir ağ güvenlik siber güvenlik konu deney güvenlik protokol bilgi
15,Mobil Uygulama Geliştiricisi,iOS/Android platformlarında mobil uygulama geliştirme deneyimi.,"Mobil uygulama geliştirme sürecine katkı sağlayarak, kullanıcı dostu uygulamalar tasarlayacaksınız.",MobilUygulama Teknolojileri,"Mobil Uygulama Geliştiricisi Mobil uygulama geliştirme sürecine katkı sağlayarak, kullanıcı dostu uygulamalar tasarlayacaksınız. iOS/Android platformlarında mobil uygulama geliştirme deneyimi.",mobil uygula geliştir mobil uygula geliştir süreç katkı sağla kullan dost uygula tasarla iosandroid platform mobil uygula geliştir deney
16,Sınıf Öğretmeni,"Eğitim fakültesi mezunu, çocuklarla etkili iletişim kurabilme.","Öğrencilerin günlük eğitim ihtiyaçlarını karşılayacak, ders planlarını hazırlayacak ve eğitim süreçlerine rehberlik edeceksiniz.",Eğitim Kültür Okulları,"Sınıf Öğretmeni Öğrencilerin günlük eğitim ihtiyaçlarını karşılayacak, ders planlarını hazırlayacak ve eğitim süreçlerine rehberlik edeceksiniz. Eğitim fakültesi mezunu, çocuklarla etkili iletişim kurabilme.",sınıf öğretmen öğrenci günlük eğitim ihtiyaç karşıla ders plan hazırla eğitim süreç rehber et eğitim fakülte mezun çocuk etki iletişim kur
17,Fen Bilgisi Öğretmeni,"Fen bilgisi alanında üniversite mezunu, laboratuvar deneyimi.",Fen derslerini interaktif yöntemlerle öğretecek ve bilimsel düşünme becerilerini geliştireceksiniz.,Fen Akademi Koleji,"Fen Bilgisi Öğretmeni Fen derslerini interaktif yöntemlerle öğretecek ve bilimsel düşünme becerilerini geliştireceksiniz. Fen bilgisi alanında üniversite mezunu, laboratuvar deneyimi.",fe bilgi öğretmen fe ders interaktif yöntem öğret bilimsel düşün beceri geliştir fe bilgi alan üniversite mezun laboratuvar deney
18,Matematik Öğretmeni,"Matematik bölümünde lisans mezunu, analitik düşünme yeteneği.","Matematiksel kavramları öğretecek, problem çözme tekniklerini geliştirecek ve sınavlara hazırlık süreçlerini yönetmek olacaktır.",Akademik Matematik Merkezi,"Matematik Öğretmeni Matematiksel kavramları öğretecek, problem çözme tekniklerini geliştirecek ve sınavlara hazırlık süreçlerini yönetmek olacaktır. Matematik bölümünde lisans mezunu, analitik düşünme yeteneği.",matematik öğretmen matematik kavram öğret problem çöz teknik geliştir sınav hazırlık süreç yönet ol matematik bölüm lisans mezun analitik düşün yetenek
19,İngilizce Öğretmeni,İngilizce dil bilgisi ve öğretim deneyimi.,"Dil bilgisi ve konuşma pratiği kazandıracak, dil becerilerini geliştirecek eğitici materyaller hazırlayacaksınız.",İngilizce Eğitim Kurumları,"İngilizce Öğretmeni Dil bilgisi ve konuşma pratiği kazandıracak, dil becerilerini geliştirecek eğitici materyaller hazırlayacaksınız. İngilizce dil bilgisi ve öğretim deneyimi.",i̇ngilizce öğretmen dil bilgi konuş pratik kazan dil beceri geliştir eğit materyal hazırla i̇ngilizce dil bilgi öğreti deney
20,Özel Eğitim Öğretmeni,"Özel eğitim alanında lisans veya yüksek lisans, sabır ve empati yeteneği.","Özel ihtiyaçları olan öğrencilerin eğitim süreçlerine rehberlik edecek, bireysel öğrenme yöntemleri uygulayacaksınız.",Özel Eğitim Merkezi,"Özel Eğitim Öğretmeni Özel ihtiyaçları olan öğrencilerin eğitim süreçlerine rehberlik edecek, bireysel öğrenme yöntemleri uygulayacaksınız. Özel eğitim alanında lisans veya yüksek lisans, sabır ve empati yeteneği.",özel eğitim öğretmen özel ihtiyaç ol öğrenci eğitim süreç rehber et bireysel öğren yöntem uygula özel eğitim alan lisans yüksek lisans sabır empati yetenek
21,Hukuk Danışmanı,"Hukuk fakültesi mezunu, sözleşme hukuku konusunda deneyim.","Şirketin tüm hukuki süreçlerini denetleyecek, müvekkil temsilinde yer alacak ve hukuki belgelerin düzenlenmesinde aktif rol alacaksınız.",Gültekin & Partners Hukuk Bürosu,"Hukuk Danışmanı Şirketin tüm hukuki süreçlerini denetleyecek, müvekkil temsilinde yer alacak ve hukuki belgelerin düzenlenmesinde aktif rol alacaksınız. Hukuk fakültesi mezunu, sözleşme hukuku konusunda deneyim.",hukuk danışman şirket hukuki süreç denetle müvekkil temsil ye al hukuki belge düzenle aktif rol al hukuk fakülte mezun sözleş hukuk konu deney
22,Ceza Avukatı,"Ceza hukuku alanında deneyim, dava takibi bilgisi.","Ceza davalarında müvekkillerinizi savunacak, dava süreçlerini yönetecek ve hukuki stratejiler geliştireceksiniz.",Özdemir Ceza Hukuku Avukatları,"Ceza Avukatı Ceza davalarında müvekkillerinizi savunacak, dava süreçlerini yönetecek ve hukuki stratejiler geliştireceksiniz. Ceza hukuku alanında deneyim, dava takibi bilgisi.",ceza avukat ceza dava müvekkil savun dav süreç yönet hukuki strateji geliştir ceza hukuk alan deney dav takip bilgi
23,İş Hukuku Avukatı,"İş hukuku konusunda uzmanlık, çalışan hakları bilgisi.","İşçi-işveren ilişkileri, iş sözleşmeleri ve tazminatlar konularında danışmanlık yapacak, davalarda müvekkil temsilini gerçekleştireceksiniz.",İş Hukuku Danışmanlık Ofisi,"İş Hukuku Avukatı İşçi-işveren ilişkileri, iş sözleşmeleri ve tazminatlar konularında danışmanlık yapacak, davalarda müvekkil temsilini gerçekleştireceksiniz. İş hukuku konusunda uzmanlık, çalışan hakları bilgisi.",i̇ş hukuk avukat i̇şçiişveren ilişki iş sözleşme tazminat konu danışmanlık yap dava müvekkil temsil gerçek i̇ş hukuk konu uzman çalış hak bilgi
24,Aile Hukuku Avukatı,Aile hukuku ve boşanma davalarında deneyim.,"Aile içi anlaşmazlıklar, boşanma ve nafaka davalarına ilişkin müvekkil danışmanlığı sağlayacak ve dava süreçlerini yönlendireceksiniz.",Aile Hukuku Çözüm Merkezi,"Aile Hukuku Avukatı Aile içi anlaşmazlıklar, boşanma ve nafaka davalarına ilişkin müvekkil danışmanlığı sağlayacak ve dava süreçlerini yönlendireceksiniz. Aile hukuku ve boşanma davalarında deneyim.",aile hukuk avukat aile iç anlaş boşan nafaka dava ilişkin müvekkil danışman sağla dav süreç yönlen aile hukuk boşan dava deney
25,Ticaret Hukuku Avukatı,Ticaret hukuku ve şirket birleşmeleri konusunda bilgi ve deneyim.,"Ticari sözleşmeleri hazırlayacak, şirketlerin yasal düzenlemelere uygun hareket etmesini sağlayacak ve şirket içi hukuki süreçleri yönlendireceksiniz.",Süleyman Demirtaş Ticaret Hukuku,"Ticaret Hukuku Avukatı Ticari sözleşmeleri hazırlayacak, şirketlerin yasal düzenlemelere uygun hareket etmesini sağlayacak ve şirket içi hukuki süreçleri yönlendireceksiniz. Ticaret hukuku ve şirket birleşmeleri konusunda bilgi ve deneyim.",ticaret hukuk avukat ticari sözleşme hazırla şirket yasal düzenle uygun hareket et sağla şirket iç hukuki süreç yönlen ticaret hukuk şirket birleş konu bilgi deney
26,İş Geliştirme Müdürü,"İş geliştirme ve stratejik planlama konusunda en az 5 yıl deneyim, liderlik becerisi.","Şirketin iş geliştirme stratejilerini belirler, yeni fırsatlar yaratmak için araştırmalar yapar ve iş ortaklıkları kurar.",Global Business Solutions,"İş Geliştirme Müdürü Şirketin iş geliştirme stratejilerini belirler, yeni fırsatlar yaratmak için araştırmalar yapar ve iş ortaklıkları kurar. İş geliştirme ve stratejik planlama konusunda en az 5 yıl deneyim, liderlik becerisi.",i̇ş geliştir müdür şirket iş geliştir strateji belirle yeni fırsat yarat araştırma yap iş ortaklık kur i̇ş geliştir stratejik planla konu 5 yıl deney lider beceri
27,İş Geliştirme Uzmanı,"İş geliştirme ve satış deneyimi, müzakere becerileri, güçlü iletişim yetenekleri.","Yeni iş fırsatlarını keşfeder, pazar araştırmaları yapar, potansiyel müşterilerle ilişki kurar ve satış hedeflerini takip eder.",ProActive Consulting,"İş Geliştirme Uzmanı Yeni iş fırsatlarını keşfeder, pazar araştırmaları yapar, potansiyel müşterilerle ilişki kurar ve satış hedeflerini takip eder. İş geliştirme ve satış deneyimi, müzakere becerileri, güçlü iletişim yetenekleri.",i̇ş geliştir uzma yeni iş fırsat keşfet pazar araştırma yap potansiyel müşteri ilişki kur satış hedef takip et i̇ş geliştir satış deney müzakere beceri güçlü iletişim yetenek
28,Satış ve İş Geliştirme Yöneticisi,"Satış yönetimi deneyimi, stratejik düşünme yeteneği, pazarlama bilgisi.","Şirketin satış ve iş geliştirme stratejilerini uygular, satış hedeflerini belirler, ekip yönetir ve müşteri ilişkilerini güçlendirir.",NexGen Business Partners,"Satış ve İş Geliştirme Yöneticisi Şirketin satış ve iş geliştirme stratejilerini uygular, satış hedeflerini belirler, ekip yönetir ve müşteri ilişkilerini güçlendirir. Satış yönetimi deneyimi, stratejik düşünme yeteneği, pazarlama bilgisi.",satış i̇ş geliştir yönet şirket satış iş geliştir strateji uygula satış hedef belirle ek yönet müşteri ilişki güçlen satış yönet deney stratejik düşün yetenek pazarla bilgi
29,İş Geliştirme Asistanı,"Yeni mezun veya iş geliştirme alanında 1 yıl deneyim, analitik düşünme yeteneği.","İş geliştirme ekibine destek sağlar, pazar araştırmaları yapar, veri analizleri gerçekleştirir ve raporlamalar yapar.",Innovative Solutions Inc.,"İş Geliştirme Asistanı İş geliştirme ekibine destek sağlar, pazar araştırmaları yapar, veri analizleri gerçekleştirir ve raporlamalar yapar. Yeni mezun veya iş geliştirme alanında 1 yıl deneyim, analitik düşünme yeteneği.",i̇ş geliştir asistan i̇ş geliştir ekip destek sağla pazar araştırma yap veri analiz gerçek raporla yap yeni mezun iş geliştir alan 1 yıl deney analitik düşün yetenek
30,Stratejik Ortaklıklar Uzmanı,"İş ortaklıkları geliştirme konusunda deneyim, müzakere yetenekleri, sektörel bilgi.","Yeni iş ortaklıkları kurar, mevcut ilişkileri geliştirir ve stratejik işbirliklerini yönetir. Ortaklık anlaşmalarının detaylarını belirler.",Strategic Ventures,"Stratejik Ortaklıklar Uzmanı Yeni iş ortaklıkları kurar, mevcut ilişkileri geliştirir ve stratejik işbirliklerini yönetir. Ortaklık anlaşmalarının detaylarını belirler. İş ortaklıkları geliştirme konusunda deneyim, müzakere yetenekleri, sektörel bilgi.",stratejik ortaklık uzma yeni iş ortaklık kur mevcut ilişki geliştir stratejik işbirliği yönet ortaklık anlaşma detay belirle i̇ş ortaklık geliştir konu deney müzakere yetenek sektörel bilgi
31,Doktor,"Tıp fakültesi mezunu, alanında uzmanlık, hasta ilişkilerinde deneyim.","Hastaların muayene edilmesi, tanı konulması, tedavi planlarının oluşturulması ve tedavi süreçlerinin yönetilmesi sorumluluğu taşır.",Özel Sağlık Hastanesi,"Doktor Hastaların muayene edilmesi, tanı konulması, tedavi planlarının oluşturulması ve tedavi süreçlerinin yönetilmesi sorumluluğu taşır. Tıp fakültesi mezunu, alanında uzmanlık, hasta ilişkilerinde deneyim.",doktor hasta muayene et tanı kon tedavi plan oluş tedavi süreç yönet sorumluluk taşı tıp fakülte mezun alan uzman hasta ilişki deney
32,Hemşire,"Hemşirelik bölümü mezunu, hasta bakımında deneyim, güçlü iletişim becerisi.","Hastaların tedavi süreçlerinde yardımcı olmak, ilaçlarını düzenli olarak vermek, doktorların verdiği talimatları uygulamak.",Özel Şifa Hastanesi,"Hemşire Hastaların tedavi süreçlerinde yardımcı olmak, ilaçlarını düzenli olarak vermek, doktorların verdiği talimatları uygulamak. Hemşirelik bölümü mezunu, hasta bakımında deneyim, güçlü iletişim becerisi.",hemşire hasta tedavi süreç yardımcı ol ilaç düzenli ol ver doktor ver talimat uygula hemşire bölü mezun hasta bakım deney güçlü iletişim beceri
33,Fizyoterapist,"Fizyoterapi ve rehabilitasyon alanında lisans, tedavi teknikleri bilgisi.","Hastaların rehabilitasyon sürecinde fizyoterapi uygulamaları yapmak, egzersiz programları hazırlamak ve iyileşme süreçlerini takip etmek.",RehabLife Fizyoterapi Merkezi,"Fizyoterapist Hastaların rehabilitasyon sürecinde fizyoterapi uygulamaları yapmak, egzersiz programları hazırlamak ve iyileşme süreçlerini takip etmek. Fizyoterapi ve rehabilitasyon alanında lisans, tedavi teknikleri bilgisi.",fizyoterapist hasta rehabilitasyon süreç fizyoterapi uygula yap egzersiz program hazırla iyi süreç takip et fizyoterapi rehabilitasyon alan lisans tedavi teknik bilgi
34,Radyolog,"Tıp fakültesi mezunu, radyoloji uzmanlık eğitimi, hasta güvenliği bilgisi.","Hastaların röntgen, MR ve diğer görüntüleme yöntemleriyle tetkik edilmesi, elde edilen verilerin analiz edilmesi ve raporlanması.",Röntgen Health Center,"Radyolog Hastaların röntgen, MR ve diğer görüntüleme yöntemleriyle tetkik edilmesi, elde edilen verilerin analiz edilmesi ve raporlanması. Tıp fakültesi mezunu, radyoloji uzmanlık eğitimi, hasta güvenliği bilgisi.",radyolog hasta röntgen mr diğer görüntüle yöntem tetkik et el et veri analiz et raporla tıp fakülte mezun radyoloji uzman eğitim hasta güvenlik bilgi
35,Eczacı,"Eczacılık fakültesi mezunu, ilaç bilgisi, hasta danışmanlık becerisi.","İlaçların doğru şekilde reçetelenmesi, hastalara ilaç kullanımı konusunda danışmanlık yapılması ve ilaç stoklarının yönetilmesi.",Eczane Farma,"Eczacı İlaçların doğru şekilde reçetelenmesi, hastalara ilaç kullanımı konusunda danışmanlık yapılması ve ilaç stoklarının yönetilmesi. Eczacılık fakültesi mezunu, ilaç bilgisi, hasta danışmanlık becerisi.",ecza i̇laçların doğru şekil reçete hasta ilaç kullanım konu danışmanlık yap ilaç stok yönet ecza fakülte mezun ilaç bilgi hasta danışmanlık beceri
36,Personal Trainer,"Fitness eğitimi, sertifikalı personal trainer, motivasyon becerisi.","Bireysel egzersiz programları hazırlayarak, spor salonu üyelerinin fiziksel sağlıklarını iyileştirmelerine yardımcı olacak, onlara rehberlik edeceksiniz.",FitLife Gym,"Personal Trainer Bireysel egzersiz programları hazırlayarak, spor salonu üyelerinin fiziksel sağlıklarını iyileştirmelerine yardımcı olacak, onlara rehberlik edeceksiniz. Fitness eğitimi, sertifikalı personal trainer, motivasyon becerisi.",personal trainer bireysel egzersiz program hazırla spor salon üye fizik sağlık iyi yardımcı ol o rehber et fitness eğitim sertifika personal trainer motivasyon beceri
37,Yoga Eğitmeni,"Yoga eğitmenliği sertifikası, güçlü iletişim becerisi, esneklik ve denge bilgisi.","Yoga dersleri verecek, katılımcıların fiziksel ve zihinsel sağlıklarını geliştirmelerine yardımcı olacak ve sağlıklı yaşam konusunda rehberlik edeceksiniz.",YogaZen Studio,"Yoga Eğitmeni Yoga dersleri verecek, katılımcıların fiziksel ve zihinsel sağlıklarını geliştirmelerine yardımcı olacak ve sağlıklı yaşam konusunda rehberlik edeceksiniz. Yoga eğitmenliği sertifikası, güçlü iletişim becerisi, esneklik ve denge bilgisi.",yoga eğitmen yoga ders ver katılım fizik zihin sağlık geliştir yardımcı ol sağlık yaşam konu rehber et yoga eğitmen sertifika güçlü iletişim beceri esnek denk bilgi
38,Zumba Eğitmeni,"Zumba eğitmeni sertifikası, dans ve fitness bilgisi, enerjik ve motivasyonel olma yeteneği.","Eğlenceli Zumba dersleri vererek, katılımcıları enerjik tutacak ve onların fiziksel dayanıklılıklarını artırmalarına yardımcı olacaksınız.",ZumbaFit Center,"Zumba Eğitmeni Eğlenceli Zumba dersleri vererek, katılımcıları enerjik tutacak ve onların fiziksel dayanıklılıklarını artırmalarına yardımcı olacaksınız. Zumba eğitmeni sertifikası, dans ve fitness bilgisi, enerjik ve motivasyonel olma yeteneği.",zumba eğitmen eğlence zumba ders ver katılım enerjik tut o fizik dayanıklı artır yardımcı ol zumba eğitmen sertifika dans fitness bilgi enerjik motivasyonel ol yetenek
39,Fitness Koçu,"Fitness koçluğu sertifikası, güçlü liderlik ve iletişim becerileri.","Kişisel ve grup fitness dersleri düzenleyerek, katılımcılara sağlıklı yaşam tarzını benimsetmelerine yardımcı olacak, motivasyon sağlayacaksınız.",PowerFit Coaching,"Fitness Koçu Kişisel ve grup fitness dersleri düzenleyerek, katılımcılara sağlıklı yaşam tarzını benimsetmelerine yardımcı olacak, motivasyon sağlayacaksınız. Fitness koçluğu sertifikası, güçlü liderlik ve iletişim becerileri.",fitness koç kişisel grup fitness ders düzenle katılım sağlık yaşam tarz benimset yardımcı ol motivasyon sağla fitness koç sertifika güçlü lider iletişim beceri
40,Sağlık ve Fitness Danışmanı,"Sağlık ve fitness alanında bilgi, müşteri hizmetleri deneyimi, egzersiz önerileri oluşturma becerisi.","Müşterilere sağlıklı yaşam tarzları ve egzersiz planları hakkında danışmanlık verecek, fitness hedeflerine ulaşmalarına yardımcı olacaksınız.",HealthyLife Consultancy,"Sağlık ve Fitness Danışmanı Müşterilere sağlıklı yaşam tarzları ve egzersiz planları hakkında danışmanlık verecek, fitness hedeflerine ulaşmalarına yardımcı olacaksınız. Sağlık ve fitness alanında bilgi, müşteri hizmetleri deneyimi, egzersiz önerileri oluşturma becerisi.",sağlık fitness danışman müşteri sağlık yaşam tarz egzersiz plan hakkında danışmanlık ver fitness hedef ulaş yardımcı ol sağlık fitness alan bilgi müşteri hizmet deney egzersiz öneri oluş beceri
41,Tarım Mühendisi,"Tarım mühendisliği alanında lisans, çiftlik yönetimi ve toprak analiz bilgisi.","Tarım mühendisi olarak, çiftliklerin verimliliğini artırmak, toprak analizleri yapmak ve tarım ekipmanlarının verimli kullanımını sağlamak beklenmektedir.",AgriTech Solutions,"Tarım Mühendisi Tarım mühendisi olarak, çiftliklerin verimliliğini artırmak, toprak analizleri yapmak ve tarım ekipmanlarının verimli kullanımını sağlamak beklenmektedir. Tarım mühendisliği alanında lisans, çiftlik yönetimi ve toprak analiz bilgisi.",tar mühendis tar mühendis ol çiftlik verim artır toprak analiz yap tar ekipman verim kullanım sağla bek tar mühendis alan lisans çiftlik yönet toprak analiz bilgi
42,Ziraat Mühendisi,"Ziraat mühendisliği diploması, bitki sağlığı ve verimliliği konusunda bilgi.","Bitki üretimi ve sağlığına yönelik çözümler geliştirecek, verimliliği artırmak için tarım uygulamaları tasarlayacak ve çiftçilere danışmanlık yapacaksınız.",GreenHarvest Consultancy,"Ziraat Mühendisi Bitki üretimi ve sağlığına yönelik çözümler geliştirecek, verimliliği artırmak için tarım uygulamaları tasarlayacak ve çiftçilere danışmanlık yapacaksınız. Ziraat mühendisliği diploması, bitki sağlığı ve verimliliği konusunda bilgi.",ziraat mühendis bitki üretim sağlık yönelik çözümle geliştir verim artır tar uygula tasarla çiftçi danışmanlık yap ziraat mühendis diploma bitki sağlık verim konu bilgi
43,Tarım İşçisi,"Tarım işlerinde deneyim, fiziksel güç ve dayanıklılık.","Çiftliklerde çalışacak, ürünlerin ekilmesi, hasat edilmesi ve bakım işlemlerini gerçekleştirecek, verimliliği artıracak çalışma yapacaksınız.",kıyıköy çiftliği,"Tarım İşçisi Çiftliklerde çalışacak, ürünlerin ekilmesi, hasat edilmesi ve bakım işlemlerini gerçekleştirecek, verimliliği artıracak çalışma yapacaksınız. Tarım işlerinde deneyim, fiziksel güç ve dayanıklılık.",tar i̇şçisi çiftlik çalış ürün ek hasat et bakı işlem gerçek verim artır çalış yap tar iş deney fizik güç dayanıklı
